id,lat,lng,original_city,city,country,sr,price
756766,40.7147636414,-74.0064163208,1,R1,231,S,1727100
468536,40.7624893188,-73.9496231079,1,R1,231,S,499000
580065,40.714515686,-74.0090942383,1,R1,231,S,2850000
416584,40.7660331726,-73.9774475098,1,R1,231,S,4630000
800431,34.0750247,-118.4777968,407,R12,231,S,1999000
747814,40.5947036743,-73.760269165,4,R7,231,S,465000
800444,34.050044,-118.307083,407,R12,231,S,1400000
795945,40.7392654419,-73.9866027832,1,R1,231,S,1695000
776328,40.7637486,-74.0409929,2502,R15,231,S,369900
795763,40.7687416077,-73.950378418,1,R1,231,S,985000
795762,40.740814209,-73.9822158813,1,R1,231,S,629000
537235,18.4507784,-69.9396952,23,R11,62,S,2244200
537268,18.4507784,-69.9396952,23,R11,62,S,2048200
247077,40.5981025696,-73.973739624,3,R2,231,S,1299000
439103,40.6238708496,-73.9755172729,3,R2,231,S,1100000
776884,40.7647918,-74.0412231,2502,R15,231,S,444900
779352,40.7581436,-74.0395407,2502,R15,231,S,599000
757546,40.6915626526,-73.9286727905,3,R2,231,S,899000
778009,40.7318649292,-73.9939346313,1,R1,231,S,1450000
769674,40.9569589,-72.2845523,12,R3,231,S,3995000
352498,40.74727,-73.9800645,1,R1,231,S,1190000
767555,40.7791175842,-73.9483261108,1,R1,231,S,805000
767551,40.8299026489,-73.9496307373,1,R1,231,S,795000
769918,40.7811927795,-73.9851379395,1,R1,231,S,1250000
796334,40.6989364624,-73.9935836792,3,R2,231,S,419000
767550,40.7077598572,-74.0033721924,1,R1,231,S,1250000
752085,40.7513618469,-73.9408187866,4,R7,231,S,1585000
749847,25.888095,-80.1235089,102,R4,231,S,5300000
758596,25.8034488,-80.1874969,2,R4,231,S,505000
502634,25.787988,-80.128904,25,R4,231,S,19500000
510333,40.7623062134,-73.9832839966,3,R1,231,S,1199000
502630,25.787988,-80.128904,25,R4,231,S,6500000
575142,25.787988,-80.128904,25,R4,231,S,3495000
715325,40.8780784607,-73.9172363281,88,R9,231,S,135000
737969,40.8179244995,-73.9385375977,1,R1,231,S,495000
750715,25.769862,-80.138389,25,R4,231,R,3900
771284,25.946372,-80.135479,103,R4,231,S,1239000
771283,25.7765341,-80.1888665,2,R4,231,R,3650
501996,40.6810340881,-73.9810028076,3,R2,231,S,3700000
799281,40.8819351196,-73.9178237915,88,R9,231,S,289999
799280,40.7536621094,-73.9691467285,1,R1,231,S,885000
490012,40.7659111023,-73.9768676758,1,R1,231,S,6995000
563451,40.7627334595,-73.9875259399,1,R1,231,S,635000
